round,delta_norm,theta_norm,relative_delta,applied_change,cumulative_drift,logits_diff,pred_change,entropy,entropy_before,loss_before,loss_after,loss,nan_count,inf_count,parameter_changed,hidden_mean,hidden_std,modulation_strength
11,1.235471785068512,14.172837525606155,0.08717180189474248,0.2965132249519229,3.0990743190050125,0.00451833289116621,0.0,4.232770919799805,4.232729911804199,3.611835241317749,3.6118452548980713,3.6118452548980713,0,0,True,0.3530707359313965,7.3606109619140625,0.05000000074505806
12,1.2411977648735046,14.200439661741257,0.0874055870409092,0.29788744961842895,3.370591528713703,0.004309943411499262,0.0,4.307195663452148,4.3071393966674805,3.632002592086792,3.632011890411377,3.632011890411377,0,0,True,0.3498731851577759,7.190118312835693,0.05000000074505806
13,1.2430938482284546,14.228091031312943,0.08736898333674381,0.298342521302402,3.6411891132593155,0.002879370003938675,0.0,4.666835784912109,4.666781902313232,3.746115207672119,3.7461371421813965,3.7461371421813965,0,0,True,0.3392466902732849,7.068564414978027,0.05000000074505806
14,1.2413291335105896,14.255646139383316,0.08707631498240094,0.2979190037585795,3.9097619727253914,0.003576497081667185,0.0,4.358231544494629,4.358186721801758,3.7292871475219727,3.7292826175689697,3.7292826175689697,0,0,True,0.3213614821434021,6.788614273071289,0.05000000074505806
15,1.242577075958252,14.283202528953552,0.08699569115815713,0.29821848636493087,4.177444942295551,0.004775477573275566,0.0,3.9855403900146484,3.9855029582977295,3.3735132217407227,3.373518943786621,3.373518943786621,0,0,True,0.3425772190093994,7.229959011077881,0.05000000074505806
16,1.2416497468948364,14.310792863368988,0.08676316950076604,0.2979959179647267,4.44336923956871,0.0024264224339276552,0.0,3.914062738418579,3.9138076305389404,4.263850688934326,4.2638349533081055,4.2638349533081055,0,0,True,0.3583988547325134,7.8115153312683105,0.05000000074505806
17,1.2416724562644958,14.338338732719421,0.08659806965161572,0.29800137784332037,4.707975536584854,0.001944338553585112,0.0,4.038691520690918,4.038586616516113,4.409543037414551,4.409552574157715,4.409552574157715,0,0,True,0.3497573733329773,7.649348258972168,0.05000000074505806
18,1.23991459608078,14.365934789180756,0.08630935711991274,0.2975795082747936,4.972328364849091,0.0020725529175251722,0.0,4.348480224609375,4.348315238952637,4.899081707000732,4.899067401885986,4.899067401885986,0,0,True,0.36406272649765015,7.830915927886963,0.05000000074505806
19,1.241744875907898,14.393612742424011,0.08627054917546553,0.29801875818520784,5.236470773816109,0.0016148177674040198,0.0,4.30195951461792,4.301756858825684,4.501320838928223,4.5013227462768555,4.5013227462768555,0,0,True,0.37163934111595154,8.071661949157715,0.05000000074505806
20,1.2416483759880066,14.421409547328949,0.08609757402097894,0.2979955947957933,5.5012175142765045,0.0015860704006627202,0.0,4.870281219482422,4.87017822265625,4.637346267700195,4.637351989746094,4.637351989746094,0,0,True,0.3611239790916443,7.67354679107666,0.05000000074505806
21,1.238467514514923,14.449097752571106,0.08571244625253832,0.29723218688741326,5.763939991593361,0.0013214072678238153,0.0,4.8043928146362305,4.804385185241699,3.7267351150512695,3.726738452911377,3.726738452911377,0,0,True,0.38514453172683716,8.277003288269043,0.05000000074505806
22,1.2380670309066772,14.476910591125488,0.08552011308722363,0.29713608184829354,6.026890888810158,0.0017058085650205612,0.0,4.502774715423584,4.502763271331787,3.933464288711548,3.933450222015381,3.933450222015381,0,0,True,0.39468252658843994,8.355280876159668,0.05000000074505806
23,1.2366583943367004,14.504805564880371,0.08525852958215092,0.2967980057001114,6.290076166391373,0.0018784338608384132,0.0,4.331446647644043,4.331418991088867,3.6918516159057617,3.6918580532073975,3.6918580532073975,0,0,True,0.4000486731529236,8.29867172241211,0.05000000074505806
24,1.236365258693695,14.532798886299133,0.08507413254437068,0.2967276484705508,6.553123757243156,0.0017179446294903755,0.0,4.846617221832275,4.846599578857422,4.192883014678955,4.192883014678955,4.192883014678955,0,0,True,0.3975861966609955,8.29725456237793,0.05000000074505806
25,1.2357197403907776,14.560901403427124,0.08486560729680737,0.2965727183036506,6.816388383507729,0.0017102303681895137,0.0,4.6962080001831055,4.696199417114258,4.147459030151367,4.147458076477051,4.147458076477051,0,0,True,0.4049777388572693,8.426215171813965,0.05000000074505806
26,1.2421767711639404,14.588992655277252,0.0851447937849643,0.29812241764739156,7.080115914344788,0.006695739459246397,0.0,2.8600311279296875,2.8600196838378906,2.7044405937194824,2.704481363296509,2.704481363296509,0,0,True,0.31083688139915466,6.4140520095825195,0.05000000074505806
27,1.2426528930664062,14.617277324199677,0.08501260977029755,0.29823669884353876,7.344619631767273,0.008377487771213055,0.0,2.8681936264038086,2.868185043334961,2.753124713897705,2.7531728744506836,2.7531728744506836,0,0,True,0.2991323173046112,5.983054161071777,0.05000000074505806
28,1.241556465625763,14.64564722776413,0.08477306918004364,0.2979735448025167,7.6090017557144165,0.00610689353197813,0.0,3.0254759788513184,3.0254697799682617,2.571800470352173,2.5718274116516113,2.5718274116516113,0,0,True,0.2782096266746521,5.624603748321533,0.05000000074505806
29,1.2408641576766968,14.674184918403625,0.0845610277215784,0.29780740290880203,7.873769521713257,0.005086821038275957,0.0,3.1038453578948975,3.1038520336151123,2.7375681400299072,2.7376015186309814,2.7376015186309814,0,0,True,0.29594430327415466,5.9330668449401855,0.05000000074505806
30,1.2404998540878296,14.702887833118439,0.08437117035563504,0.2977199642919004,8.138807699084282,0.006378382910043001,0.0,3.324329376220703,3.3243319988250732,2.673748016357422,2.673793315887451,2.673793315887451,0,0,True,0.2778957784175873,5.522260665893555,0.05000000074505806
31,1.2345490455627441,14.731573641300201,0.08380293074065531,0.2962917680852115,8.402629122138023,0.004468114580959082,0.0,4.1776885986328125,4.177693843841553,3.6917343139648438,3.6917543411254883,3.6917543411254883,0,0,True,0.34992679953575134,7.37745475769043,0.05000000074505806
32,1.2347495555877686,14.760453343391418,0.08365254961092325,0.2963398811407387,8.667123556137085,0.0035444709938019514,0.0,4.297428131103516,4.297434329986572,3.4705960750579834,3.4706082344055176,3.4706082344055176,0,0,True,0.3210952579975128,6.731878280639648,0.05000000074505806
33,1.2327349185943604,14.78939962387085,0.08335260050750559,0.2958563668653369,8.931693449616432,0.004044880159199238,0.0,3.981647491455078,3.9816300868988037,3.325279951095581,3.325298309326172,3.325298309326172,0,0,True,0.34094804525375366,7.075231075286865,0.05000000074505806
34,1.2330342531204224,14.81844425201416,0.0832094268568595,0.2959282295778394,9.196216821670532,0.00359634542837739,0.0,4.0962934494018555,4.096311569213867,3.4119014739990234,3.4119210243225098,3.4119210243225098,0,0,True,0.33432066440582275,7.1016845703125,0.05000000074505806
35,1.2315908670425415,14.84756588935852,0.08294900835733901,0.29558179108425975,9.460850611329079,0.003558230819180608,0.0,4.022736549377441,4.022730827331543,3.5735747814178467,3.573605537414551,3.573605537414551,0,0,True,0.32645440101623535,6.858722686767578,0.05000000074505806
36,1.2280359864234924,14.876855492591858,0.08254674430594627,0.2947286134585738,9.725431621074677,0.0021906134206801653,0.0,3.9652369022369385,3.9650015830993652,4.149903297424316,4.149909973144531,4.149909973144531,0,0,True,0.3650302290916443,7.8512372970581055,0.05000000074505806
37,1.2276571393013,14.906242370605469,0.08235859237886754,0.2946376921609044,9.99027481675148,0.0019679665565490723,0.0,4.15841007232666,4.158236503601074,4.64235258102417,4.64237117767334,4.64237117767334,0,0,True,0.3648080825805664,7.829274654388428,0.05000000074505806
38,1.2273201942443848,14.935688972473145,0.08217365777409848,0.29455684311687946,10.254935875535011,0.0015198682667687535,0.0,4.18084192276001,4.1806817054748535,5.0299072265625,5.029942512512207,5.029942512512207,0,0,True,0.37643346190452576,8.1303129196167,0.05000000074505806
39,1.2273091673851013,14.965307593345642,0.08201028677357938,0.29455419164150953,10.520301878452301,0.002026676433160901,0.0,4.1661224365234375,4.166032791137695,4.851578712463379,4.851597785949707,4.851597785949707,0,0,True,0.37046992778778076,7.982105731964111,0.05000000074505806
40,1.2271960377693176,14.995028257369995,0.08184019507706868,0.29452702263370156,10.786031574010849,0.002452910877764225,0.0,4.030170440673828,4.03009557723999,4.876402378082275,4.87640380859375,4.87640380859375,0,0,True,0.3741249740123749,8.102543830871582,0.05000000074505806
41,1.2254566550254822,15.024818301200867,0.08156216138251315,0.29410959454253316,11.051735937595367,0.0018365302821621299,0.0,4.616391658782959,4.616377353668213,3.8499107360839844,3.849916458129883,3.849916458129883,0,0,True,0.38971567153930664,8.088960647583008,0.05000000074505806
42,1.225647747516632,15.054714798927307,0.08141288386306482,0.2941554649733007,11.317733615636826,0.0013905680971220136,0.0,5.221952438354492,5.2219367027282715,4.128905296325684,4.128913402557373,4.128913402557373,0,0,True,0.3797004818916321,7.9549946784973145,0.05000000074505806
43,1.2240742444992065,15.084672212600708,0.08114689051557238,0.2937778099440038,11.583817541599274,0.001622817711904645,0.0,4.959153652191162,4.959155082702637,4.14630126953125,4.146304607391357,4.146304607391357,0,0,True,0.3797721564769745,7.822018623352051,0.05000000074505806
44,1.2225853204727173,15.114678025245667,0.0808872883981163,0.29342046147212386,11.849776268005371,0.0014354209415614605,0.0,5.183928489685059,5.183934211730957,3.850421905517578,3.8503923416137695,3.8503923416137695,0,0,True,0.37865281105041504,7.771303176879883,0.05000000074505806
45,1.2226706743240356,15.144787192344666,0.08073211322124532,0.2934409282170236,12.116033524274826,0.0015281145460903645,0.0,4.7678704261779785,4.767839431762695,3.9230759143829346,3.9230897426605225,3.9230897426605225,0,0,True,0.40215152502059937,8.452681541442871,0.05000000074505806
46,1.2282029390335083,15.174952507019043,0.08093619656901158,0.2947686999104917,12.383140921592712,0.00706906383857131,0.0,2.8489298820495605,2.8489272594451904,2.5369112491607666,2.536973714828491,2.536973714828491,0,0,True,0.2763407826423645,5.594552516937256,0.05000000074505806
47,1.2265344858169556,15.205210447311401,0.08066540677402018,0.29436828289180994,12.650458455085754,0.007624627556651831,0.0,2.88349986076355,2.8835062980651855,2.8467326164245605,2.8467929363250732,2.8467929363250732,0,0,True,0.31005388498306274,6.331124305725098,0.05000000074505806
48,1.2252638936042786,15.235570788383484,0.08042126616867505,0.2940633003599942,12.918063640594482,0.006811484694480896,0.0006510416860692203,2.970902919769287,2.9709174633026123,2.7447757720947266,2.7448067665100098,2.7448067665100098,0,0,True,0.29503560066223145,5.948339462280273,0.05000000074505806
49,1.2244186401367188,15.266024947166443,0.08020546569092209,0.2938604508526623,13.18591395020485,0.006296348292380571,0.0,2.9491443634033203,2.9491355419158936,2.781275510787964,2.7813162803649902,2.7813162803649902,0,0,True,0.3168731927871704,6.574498653411865,0.05000000074505806
50,1.2234205603599548,15.296561241149902,0.07998010409481977,0.2936209011822939,13.454044818878174,0.006406606175005436,0.0052083334885537624,2.920029401779175,2.9200448989868164,2.8484716415405273,2.8485219478607178,2.8485219478607178,0,0,True,0.31521162390708923,6.427332401275635,0.05000000074505806
51,1.2208943963050842,15.327240586280823,0.07965519882279971,0.29301464930176735,13.722503989934921,0.0026089027523994446,0.0,4.677245140075684,4.677238464355469,3.66809344291687,3.668114185333252,3.668114185333252,0,0,True,0.34240198135375977,7.143719673156738,0.05000000074505806
52,1.2203993797302246,15.35797131061554,0.07946357986010014,0.292895850725472,13.99097165465355,0.004735099151730537,0.0,3.8930511474609375,3.893040418624878,3.3547146320343018,3.3547475337982178,3.3547475337982178,0,0,True,0.3216211199760437,6.8610053062438965,0.05000000074505806
53,1.2198233008384705,15.388800740242004,0.079266950130078,0.29275756934657693,14.259846895933151,0.00283106230199337,0.0006510416860692203,4.186133861541748,4.186143398284912,3.477203607559204,3.4772427082061768,3.4772427082061768,0,0,True,0.34213516116142273,7.22261905670166,0.05000000074505806
54,1.218694031238556,15.419694423675537,0.07903490158451922,0.29248657263815403,14.528822630643845,0.004437173251062632,0.0,4.428157329559326,4.428153991699219,3.729048490524292,3.7290823459625244,3.7290823459625244,0,0,True,0.3406219482421875,7.221258640289307,0.05000000074505806
55,1.2176830768585205,15.45069408416748,0.07881089808815098,0.29224393842741847,14.798185586929321,0.0037982261274009943,0.0006510416860692203,4.115074157714844,4.115060329437256,3.6666674613952637,3.6667118072509766,3.6667118072509766,0,0,True,0.35495370626449585,7.3604865074157715,0.05000000074505806
56,1.2159886956214905,15.481776595115662,0.07854322713874597,0.29183729039505124,15.067520141601562,0.0018765139393508434,0.0,4.1074538230896,4.107328414916992,4.555871963500977,4.555854320526123,4.555854320526123,0,0,True,0.3665703237056732,7.848585605621338,0.05000000074505806
57,1.2156465649604797,15.512946128845215,0.07836335889158229,0.2917551859281957,15.337162971496582,0.002104135463014245,0.0,4.042880058288574,4.042762279510498,4.662230491638184,4.662235736846924,4.662235736846924,0,0,True,0.363586962223053,7.818201065063477,0.05000000074505806
58,1.2145909070968628,15.544175744056702,0.07813800661390877,0.2915018340572715,15.606843292713165,0.0015097684226930141,0.0,4.5334882736206055,4.533411502838135,4.798520565032959,4.798569202423096,4.798569202423096,0,0,True,0.36463484168052673,7.836451053619385,0.05000000074505806
59,1.2145169973373413,15.57549524307251,0.07797613998036565,0.2914840807206929,15.876931369304657,0.0017850706353783607,0.0,4.25142240524292,4.251293659210205,4.923645496368408,4.923642158508301,4.923642158508301,0,0,True,0.3683449625968933,7.923630714416504,0.05000000074505806
60,1.2135732769966125,15.606871604919434,0.07775890695570807,0.29125758446753025,16.147048205137253,0.0025827065110206604,0.0,4.064510345458984,4.064271926879883,4.865647315979004,4.865659713745117,4.865659713745117,0,0,True,0.3685799539089203,7.923339366912842,0.05000000074505806
61,1.2125149965286255,15.63830828666687,0.0775349209327462,0.291003602091223,16.41718292236328,0.001531014684587717,0.0,4.406465530395508,4.40643310546875,3.9524970054626465,3.9524927139282227,3.9524927139282227,0,0,True,0.3923937678337097,8.10531997680664,0.05000000074505806
62,1.2126492261886597,15.669847249984741,0.07738743121378165,0.29103580582886934,16.687647342681885,0.001531796297058463,0.0,5.058007717132568,5.058004379272461,4.042290210723877,4.042295455932617,4.042295455932617,0,0,True,0.3835274875164032,8.0343017578125,0.05000000074505806
63,1.2113760113716125,15.701430916786194,0.07715067612573745,0.290730238892138,16.958160012960434,0.0014643371105194092,0.0,4.411376953125,4.411353588104248,3.720376968383789,3.7203867435455322,3.7203867435455322,0,0,True,0.40107816457748413,8.37768268585205,0.05000000074505806
64,1.2107938528060913,15.733064770698547,0.07695855006337282,0.2905905041843653,17.228712290525436,0.0015096371062099934,0.0,4.962789058685303,4.962775230407715,3.953691005706787,3.9536936283111572,3.9536936283111572,0,0,True,0.3989980220794678,8.342744827270508,0.05000000074505806
65,1.2105208039283752,15.76478660106659,0.07678637425047515,0.2905250140465796,17.499499589204788,0.0017428615828976035,0.0,4.598219871520996,4.598217010498047,3.9148647785186768,3.9148740768432617,3.9148740768432617,0,0,True,0.3873481750488281,8.174325942993164,0.05000000074505806
66,1.2144088745117188,15.796616077423096,0.07687778626508378,0.29145814338698983,17.771191149950027,0.007313672453165054,0.0,2.8817954063415527,2.8817996978759766,2.927225112915039,2.9272780418395996,2.9272780418395996,0,0,True,0.29879674315452576,6.0608601570129395,0.05000000074505806
67,1.2139611840248108,15.828492403030396,0.07669468153469851,0.29135068599134684,18.042962938547134,0.007614309433847666,0.0,2.7285971641540527,2.728593349456787,2.5611257553100586,2.5611610412597656,2.5611610412597656,0,0,True,0.3006211519241333,6.011127471923828,0.05000000074505806
68,1.213151454925537,15.86048674583435,0.07648891704059228,0.29115635342895985,18.315098375082016,0.005032747518271208,0.0006510416860692203,3.6973795890808105,3.6973776817321777,2.8922438621520996,2.8922743797302246,2.8922743797302246,0,0,True,0.30086085200309753,6.007260322570801,0.05000000074505806
69,1.213112473487854,15.892492890357971,0.07633242197162494,0.2911470062099397,18.587090522050858,0.0063368394039571285,0.0,2.9186177253723145,2.9186205863952637,2.78653621673584,2.786585807800293,2.786585807800293,0,0,True,0.2852426767349243,5.737051486968994,0.05000000074505806
70,1.2119725942611694,15.924584031105042,0.07610701741997515,0.2908733878284693,18.859230995178223,0.006597860716283321,0.0013020833721384406,2.960800886154175,2.9607982635498047,2.6970794200897217,2.6971216201782227,2.6971216201782227,0,0,True,0.3165212869644165,6.549627304077148,0.05000000074505806
71,1.2106173634529114,15.956776976585388,0.0758685394443592,0.2905481760390103,19.13162398338318,0.003907468635588884,0.0,4.341428756713867,4.341432571411133,3.4762392044067383,3.476276397705078,3.476276397705078,0,0,True,0.33855515718460083,7.077930927276611,0.05000000074505806
72,1.21001797914505,15.989052772521973,0.07567790264752453,0.29040429228916764,19.404216557741165,0.0040983478538692,0.0,4.288957595825195,4.288936614990234,3.833319902420044,3.8333489894866943,3.8333489894866943,0,0,True,0.34622257947921753,7.201973915100098,0.05000000074505806
73,1.2096206545829773,16.021397590637207,0.07550032060186004,0.29030894860625267,19.676894813776016,0.004417544696480036,0.0,4.053746223449707,4.053740501403809,3.332174301147461,3.3322091102600098,3.3322091102600098,0,0,True,0.3391352593898773,7.112415790557861,0.05000000074505806
74,1.2091160416603088,16.05378532409668,0.0753165697217484,0.2901878487318754,19.949677348136902,0.003656649962067604,0.0,4.367626190185547,4.367619037628174,3.567936420440674,3.5679619312286377,3.5679619312286377,0,0,True,0.3538219928741455,7.330774307250977,0.05000000074505806
75,1.209008514881134,16.08624815940857,0.0751578928100774,0.290162046905607,20.222645044326782,0.0029035862535238266,0.0,4.485520362854004,4.485515594482422,3.5404372215270996,3.540475368499756,3.540475368499756,0,0,True,0.3540213108062744,7.397392749786377,0.05000000074505806
76,1.2065861821174622,16.11876654624939,0.07485598719079518,0.2895806888118386,20.49535369873047,0.0032977615483105183,0.0,3.776871681213379,3.776832103729248,4.573431968688965,4.573459148406982,4.573459148406982,0,0,True,0.35669952630996704,7.705596446990967,0.05000000074505806
77,1.2065109610557556,16.151344776153564,0.07470034091756202,0.2895626239478588,20.768224775791168,0.001794469659216702,0.0,4.287521839141846,4.2874531745910645,4.548273086547852,4.548276901245117,4.548276901245117,0,0,True,0.3809831142425537,8.249897956848145,0.05000000074505806
78,1.2064560055732727,16.18401336669922,0.07454615726255627,0.2895494429394603,21.041361153125763,0.0013876425800845027,0.0,4.321479797363281,4.32139253616333,4.700587272644043,4.700612545013428,4.700612545013428,0,0,True,0.36455535888671875,7.805873394012451,0.05000000074505806
79,1.2058526873588562,16.21673011779785,0.07435855925328828,0.28940462693572044,21.314476162195206,0.0017028014408424497,0.0,3.9082467555999756,3.9081408977508545,4.852307319641113,4.852331161499023,4.852331161499023,0,0,True,0.35665926337242126,7.747075080871582,0.05000000074505806
