round,probe_loss,probe_entropy,output_drift_vs_0,output_drift_vs_prev,delta_norm,theta_norm,applied_change,gross_drift,net_drift,drift_ratio,nan_count,inf_count,layer_drift_sum,delta_cosine,param_hash,hash_changed
0,3.2205093687749002,4.568333983421326,0.0,0.0,,,,,,,,,,,,
1,3.220492930621265,4.568337321281433,0.0030494996753986925,0.01802910352125764,1.4648929834365845,13.888794869184494,0.3515743026509881,0.3515743026509881,0.3515743026509881,0.9999999999971557,0,0,0.3515743026509881,,,
2,3.220481258559512,4.56833291053772,0.005121026129927486,0.018326658755540848,1.448142945766449,13.903807982802391,0.34755429718643427,0.6991285998374224,0.49619186762720346,0.709729036606255,0,0,0.49619186762720346,0.0074127740226686,,
3,3.2204768815363547,4.568314015865326,0.0062335432739928365,0.01815083436667919,1.4302639365196228,13.91465863212943,0.3432633150368929,1.0423919148743153,0.6018756395205855,0.5773986069266264,0,0,0.6018756395205855,-0.0038722194731235504,,
4,3.2204696513425466,4.56827437877655,0.006701312784571201,0.018238491378724575,1.4017307758331299,13.923595517873764,0.3364153797738254,1.3788072946481407,0.6905648969113827,0.5008422131151459,0,0,0.6905648969113827,0.011089544743299484,,
5,3.2204652094746016,4.568189322948456,0.0075635017128661275,0.018217982724308968,1.3718140125274658,13.931495159864426,0.32923536468297243,1.708042659331113,0.7635158840566874,0.44701218666004566,0,0,0.7635158840566874,-0.004450205247849226,,
6,3.220470137678453,4.568208932876587,0.0076008152682334185,0.017998209688812494,1.350115418434143,13.938311725854874,0.32402770034968853,2.0320703596808016,0.8270129729062319,0.40698048124462205,0,0,0.8270129729062319,-0.01231167372316122,,
7,3.2204842738421315,4.568175435066223,0.008248778060078621,0.018217829056084156,1.330802857875824,13.94416143745184,0.3193926764652133,2.351463036146015,0.8861843347549438,0.37686509255403794,0,0,0.8861843347549438,-0.01157518569380045,,
8,3.2205013928660358,4.568143129348755,0.008849419886246324,0.01791036268696189,1.3084272146224976,13.949558682739735,0.31402253871783614,2.665485574863851,0.939245667308569,0.35237319464998107,0,0,0.939245667308569,-0.004879278596490622,,
9,3.220487840305445,4.568071663379669,0.010016215033829212,0.017819367349147797,1.2947702407836914,13.95424272119999,0.31074484111741185,2.976230415981263,0.9874504059553146,0.3317788840046581,0,0,0.9874504059553146,0.010353975929319859,,
10,3.220480058930943,4.568094372749329,0.010843597701750696,0.017977753188461065,1.277510166168213,13.958889484405518,0.30660244077444077,3.2828328567557037,1.035487873479724,0.3154250973662853,0,0,1.035487873479724,0.002126948442310095,,
