round,probe_loss,probe_entropy,output_drift_vs_0,output_drift_vs_prev,delta_norm,theta_norm,applied_change,gross_drift,net_drift,drift_ratio,nan_count,inf_count,layer_drift_sum,delta_cosine,param_hash,hash_changed
0,3.2205093363525066,4.568333983421326,0.0,0.0,,,,,,,,,,,,
1,,,,,1.4648929238319397,13.890587218105793,0.35157431941479445,0.35157431941479445,0.35157431941479445,0.9999999999971557,0,0,0.35157431941479445,,,
2,,,,,1.4481428861618042,13.928159385919571,0.3475542841479182,0.6991286035627127,0.6984439985826612,0.9990207738925831,0,0,0.6984439985826612,0.9960876107215881,,
3,,,,,1.4302638173103333,13.965571627020836,0.34326330525800586,1.0423919088207185,1.040624625980854,0.9983045888730446,0,0,1.040624625980854,0.9976540803909302,,
4,,,,,1.401730716228485,14.002458781003952,0.33641535229980946,1.378807261120528,1.375014141201973,0.9972489846648547,0,0,1.375014141201973,0.9973487854003906,,
5,,,,,1.371813952922821,14.038796588778496,0.3292353292927146,1.7080425904132426,1.7005204372107983,0.9955960388542653,0,0,1.7005204372107983,0.9967805743217468,,
6,,,,,1.3501152992248535,14.074625179171562,0.32402767101302743,2.03207026142627,2.016526021063328,0.9923505399104534,0,0,2.016526021063328,0.9882006049156189,,
7,,,,,1.330802857875824,14.110142350196838,0.3193926722742617,2.3514629337005317,2.325882602483034,0.9891215247955321,0,0,2.325882602483034,0.9970641732215881,,
8,,,,,1.308427333831787,14.145279586315155,0.31402255967259407,2.665485493373126,2.627348218113184,0.9856921842734677,0,0,2.627348218113184,0.9961317777633667,,
9,,,,,1.2947702407836914,14.180206060409546,0.31074485974386334,2.976230353116989,2.9238126054406166,0.98238787275909,0,0,2.9238126054406166,0.9973666667938232,,
10,3.2204083730183433,4.5679450035095215,0.033965048380196095,0.03999210335314274,1.277510166168213,14.214717388153076,0.30660243378952146,3.2828327869065106,3.21311017498374,0.9787614488919947,0,0,3.21311017498374,0.9972478747367859,,
11,,,,,1.2564293146133423,14.248633801937103,0.30154303228482604,3.5843758191913366,3.494919754564762,0.9750427775601579,0,0,3.494919754564762,0.9967561960220337,,
12,,,,,1.2448658347129822,14.282183945178986,0.29876779997721314,3.8831436191685498,3.7704237550497055,0.9709720074314556,0,0,3.7704237550497055,0.9972387552261353,,
13,,,,,1.2323216795921326,14.315298438072205,0.2957571796141565,4.178900798782706,4.0390330627560616,0.9665300176380464,0,0,4.0390330627560616,0.9973397850990295,,
14,,,,,1.2233690023422241,14.348120957612991,0.2936085546389222,4.4725093534216285,4.302256919443607,0.9619335767629565,0,0,4.302256919443607,0.9976726174354553,,
15,,,,,1.2151514291763306,14.380586862564087,0.2916363263502717,4.7641456797719,4.560523599386215,0.9572594764993855,0,0,4.560523599386215,0.9981160163879395,,
16,,,,,1.204769492149353,14.412518620491028,0.2891446785070002,5.0532903582789,4.813474752008915,0.9525426822390992,0,0,4.813474752008915,0.9975600242614746,,
17,,,,,1.1988985538482666,14.444239735603333,0.2877356419339776,5.341026000212878,5.06291476637125,0.9479292492057723,0,0,5.06291476637125,0.9982775449752808,,
18,,,,,1.2028678953647614,14.476066827774048,0.2886882941238582,5.629714294336736,5.312101893126965,0.9435828561441882,0,0,5.312101893126965,0.998329222202301,,
19,,,,,1.2000341713428497,14.507783830165863,0.2880082046613097,5.917722498998046,5.559065327048302,0.9393927018356455,0,0,5.559065327048302,0.998721182346344,,
20,3.2202942137699204,4.5679322481155396,0.05913622211664915,0.037022107280790806,1.2012690901756287,14.539553880691528,0.28830457851290703,6.206027077510953,5.804847605526447,0.9353564741218722,0,0,5.804847605526447,0.9987786412239075,,
21,,,,,1.2020383477210999,14.571292102336884,0.2884891973808408,6.494516274891794,6.050006866455078,0.931556194545828,0,0,6.050006866455078,0.9988990426063538,,
22,,,,,1.2031273543834686,14.603038430213928,0.28875054651871324,6.783266821410507,6.294061549007893,0.9278805794783969,0,0,6.294061549007893,0.9990791082382202,,
23,,,,,1.2093198001384735,14.634928345680237,0.2902367413043976,7.0735035627149045,6.538524530827999,0.9243685922902826,0,0,6.538524530827999,0.9990881681442261,,
24,,,,,1.207578867673874,14.666761934757233,0.2898189169354737,7.363322479650378,6.781559027731419,0.9209917189519176,0,0,6.781559027731419,0.9992030262947083,,
25,,,,,1.2104008793830872,14.698700606822968,0.2904961947351694,7.653818674385548,7.0247029066085815,0.9178036749311428,0,0,7.0247029066085815,0.999426543712616,,
26,,,,,1.228722482919693,14.731291830539703,0.29489337792620063,7.948712052311748,7.2709663808345795,0.914735158725372,0,0,7.2709663808345795,0.9969207644462585,,
27,,,,,1.2302540242671967,14.763992965221405,0.29526093835011125,8.24397299066186,7.517489492893219,0.9118770162647964,0,0,7.517489492893219,0.9995280504226685,,
28,,,,,1.2310922741889954,14.796747922897339,0.2954621254466474,8.539435116108507,7.763799205422401,0.9091701148681508,0,0,7.763799205422401,0.9994631409645081,,
29,,,,,1.2333885729312897,14.829641044139862,0.29601325979456306,8.83544837590307,8.010904386639595,0.9066777424094106,0,0,8.010904386639595,0.9996753931045532,,
30,3.220192731677457,4.568129539489746,0.08466621488332748,0.037800106685608625,1.234111875295639,14.862570822238922,0.2961868243291974,9.131635200232267,8.257696032524109,0.9042954357520947,0,0,8.257696032524109,0.9994442462921143,,
31,,,,,1.231178194284439,14.89547073841095,0.2954827672801912,9.427117967512459,8.504968777298927,0.902181218757172,0,0,8.504968777298927,0.9992929697036743,,
32,,,,,1.2302313446998596,14.928402543067932,0.2952555073425174,9.722373474854976,8.75167778134346,0.900158567656043,0,0,8.75167778134346,0.9994299411773682,,
33,,,,,1.2350988984107971,14.961575388908386,0.29642374627292156,10.018797221127898,9.000474616885185,0.8983587967928779,0,0,9.000474616885185,0.999713122844696,,
34,,,,,1.234906256198883,14.994774341583252,0.2963775033131242,10.315174724441022,9.249192759394646,0.896658855179495,0,0,9.249192759394646,0.9996762871742249,,
35,,,,,1.2394176125526428,15.02816915512085,0.297460213303566,10.612634937744588,9.49932111799717,0.8950954380058119,0,0,9.49932111799717,0.9998008608818054,,
36,,,,,1.2331295013427734,15.061312079429626,0.2959510679356754,10.908586005680263,9.748217955231667,0.8936280055137055,0,0,9.748217955231667,0.9993319511413574,,
37,,,,,1.2374723851680756,15.094659447669983,0.2969933832064271,11.20557938888669,9.998773783445358,0.8923031497470721,0,0,9.998773783445358,0.9998489618301392,,
38,,,,,1.238946110010147,15.12808096408844,0.2973470510914922,11.502926439978182,10.250019878149033,0.8910793206956805,0,0,10.250019878149033,0.99982088804245,,
39,,,,,1.2398981153964996,15.161611080169678,0.2975755464285612,11.800501986406744,10.50195698440075,0.8899584946892338,0,0,10.50195698440075,0.9998001456260681,,
40,3.220115436690737,4.568390429019928,0.1111661959439516,0.037952243350446224,1.2419190108776093,15.195231080055237,0.29806055407971144,12.098562540486455,10.754663601517677,0.88892077596223,0,0,10.754663601517677,0.9998236298561096,,
41,,,,,1.244066298007965,15.229012966156006,0.29857591120526195,12.397138451691717,11.0086510181427,0.8879993605814387,0,0,11.0086510181427,0.999746561050415,,
42,,,,,1.2435376048088074,15.262786626815796,0.2984490152448416,12.695587466936558,11.262875139713287,0.8871487963077402,0,0,11.262875139713287,0.9998371005058289,,
43,,,,,1.2491072118282318,15.296827554702759,0.2997857262380421,12.9953731931746,11.519052669405937,0.8863964503501185,0,0,11.519052669405937,0.9998359084129333,,
44,,,,,1.2528087496757507,15.331042289733887,0.3006740999408066,13.296047293115407,11.776868745684624,0.8857420920713566,0,0,11.776868745684624,0.9999122023582458,,
45,,,,,1.252398669719696,15.365263104438782,0.30057568196207285,13.59662297507748,12.034805417060852,0.8851319507145036,0,0,12.034805417060852,0.9997704029083252,,
46,,,,,1.267257034778595,15.400154709815979,0.30414168164134026,13.90076465671882,12.296648040413857,0.8846022750604218,0,0,12.296648040413857,0.9986972212791443,,
47,,,,,1.2701265215873718,15.435200095176697,0.3048303406685591,14.20559499738738,12.560062691569328,0.8841630846070458,0,0,12.560062691569328,0.9999057650566101,,
48,,,,,1.2699105739593506,15.470303654670715,0.30477852700278163,14.510373524390161,12.823857307434082,0.8837716882944374,0,0,12.823857307434082,0.9998896718025208,,
49,,,,,1.2708369493484497,15.505480170249939,0.3050008681602776,14.815374392550439,13.08854229748249,0.8834432361063296,0,0,13.08854229748249,0.9999194741249084,,
50,3.2200623936545485,4.568684637546539,0.13867677561938763,0.038312370888888836,1.2727156281471252,15.540748000144958,0.3054517349228263,15.120826127473265,13.354015156626701,0.8831538068123606,0,0,13.354015156626701,0.9999023675918579,,
51,,,,,1.2687744498252869,15.575931549072266,0.3045058739371598,15.425332001410425,13.619207441806793,0.8829117869593102,0,0,13.619207441806793,0.9997507929801941,,
